time,V(n003)
0.000000000000000e+000,7.966760e-006
1.000005936537514e-006,7.990479e-006
1.001508865970219e-006,1.241875e-005
1.003011795402924e-006,2.634664e-005
1.004514724835628e-006,4.977415e-005
1.006017654268333e-006,8.270127e-005
1.007520583701038e-006,1.251280e-004
1.009023513133743e-006,1.770544e-004
1.010526442566447e-006,2.384803e-004
1.014571124001403e-006,5.019185e-004
1.019226628143348e-006,1.001389e-003
1.024383627704901e-006,1.869689e-003
1.032360881871040e-006,3.932336e-003
1.043383394160084e-006,8.143079e-003
1.056867729612272e-006,1.541159e-002
1.074075301547944e-006,2.767005e-002
1.096183585747702e-006,4.696279e-002
1.125083015460986e-006,7.549313e-002
1.191339561596977e-006,1.443864e-001
1.226630687932266e-006,1.803990e-001
1.270692572519586e-006,2.245912e-001
2.000000000000000e-006,9.523340e-001
2.007924770174701e-006,9.600143e-001
2.018491130407636e-006,9.695654e-001
2.029871946850947e-006,9.786304e-001
2.043196007795455e-006,9.871994e-001
2.057676529739835e-006,9.940173e-001
2.072800345374175e-006,9.985883e-001
2.088958263507029e-006,1.001116e+000
2.108327370440532e-006,1.002178e+000
2.118775140732326e-006,1.002113e+000
2.128330753029852e-006,1.001730e+000
2.164885988663164e-006,9.997606e-001
2.177560071967891e-006,9.991748e-001
2.192297976115096e-006,9.986385e-001
2.208139626323052e-006,9.982346e-001
2.228287044037920e-006,9.979354e-001
2.254371227901168e-006,9.977635e-001
2.303214554227981e-006,9.977227e-001
2.352057880554794e-006,9.976617e-001
2.400901206881607e-006,9.975806e-001
2.449744533208420e-006,9.974792e-001
2.498587859535233e-006,9.973576e-001
2.547431185862046e-006,9.972159e-001
2.596274512188859e-006,9.970539e-001
2.590385140883374e-005,9.360273e-001
4.921142830547862e-005,8.768945e-001
7.251900520212351e-005,8.196553e-001
9.582658209876838e-005,7.643098e-001
1.191341589954133e-004,7.108580e-001
1.424417358920582e-004,6.592999e-001
1.657493127887030e-004,6.096355e-001
1.950461877887030e-004,5.498070e-001
2.327135985029888e-004,4.774365e-001
2.703810092172745e-004,4.093967e-001
3.080484199315603e-004,3.456877e-001
3.457158306458461e-004,2.863093e-001
3.833832413601318e-004,2.312618e-001
4.210506520744175e-004,1.805449e-001
4.587180627887032e-004,1.341588e-001
4.880149377887032e-004,1.004591e-001
5.075461877887032e-004,7.923998e-002
5.270774377887032e-004,5.899261e-002
5.466086877887032e-004,3.969453e-002
5.563743127887033e-004,3.039442e-002
5.661399377887033e-004,2.132314e-002
5.759055627887033e-004,1.247787e-002
5.856711877887033e-004,3.855755e-003
5.954368127887033e-004,-4.546039e-003
6.052024377887033e-004,-1.273036e-002
6.149680627887033e-004,-2.070004e-002
6.247336877887033e-004,-2.845794e-002
6.344993127887033e-004,-3.600689e-002
6.540305627887033e-004,-5.048930e-002
6.735618127887034e-004,-6.416989e-002
6.930930627887034e-004,-7.707125e-002
7.223899377887034e-004,-9.501129e-002
7.516868127887034e-004,-1.113237e-001
7.809836877887035e-004,-1.260828e-001
8.172560092172749e-004,-1.419932e-001
8.535283306458464e-004,-1.560949e-001
8.898006520744178e-004,-1.683878e-001
9.260729735029894e-004,-1.788719e-001
9.623452949315608e-004,-1.875472e-001
9.986176163601322e-004,-1.944138e-001
1.034889937788704e-003,-1.994715e-001
1.064186812788704e-003,-2.027911e-001
1.093483687788704e-003,-2.052644e-001
1.113014937788704e-003,-2.064712e-001
1.132546187788704e-003,-2.073431e-001
1.142311812788704e-003,-2.076585e-001
1.152077437788704e-003,-2.078961e-001
1.161843062788704e-003,-2.080578e-001
1.171608687788704e-003,-2.081456e-001
1.181374312788704e-003,-2.081612e-001
1.191139937788704e-003,-2.081067e-001
1.200905562788704e-003,-2.079836e-001
1.210671187788704e-003,-2.077940e-001
1.230202437788704e-003,-2.072218e-001
1.249733687788704e-003,-2.064042e-001
1.269264937788704e-003,-2.053546e-001
1.298561812788704e-003,-2.033739e-001
1.327858687788704e-003,-2.009436e-001
1.357155562788704e-003,-1.981047e-001
1.393427884217275e-003,-1.939328e-001
1.429700205645847e-003,-1.894173e-001
1.465972527074419e-003,-1.845581e-001
