time,V(n003)
0.000000000000000e+000,7.966760e-006
1.666666666666670e-004,7.966762e-006
1.666695555661150e-004,2.916912e-005
1.666728727286191e-004,8.300926e-005
1.666762343088012e-004,1.914584e-004
1.666802485392453e-004,4.259660e-004
1.666846218310884e-004,8.438772e-004
1.666895209995531e-004,1.581406e-003
1.666967019895158e-004,3.246136e-003
1.667068296574354e-004,6.750178e-003
1.667196224067717e-004,1.307791e-002
1.667356694977484e-004,2.376883e-002
1.667566495203816e-004,4.122049e-002
1.667818260728661e-004,6.540737e-002
1.668149334192915e-004,9.952103e-002
1.668484065854544e-004,1.344495e-001
1.668821671857407e-004,1.691239e-001
1.669225911362039e-004,2.098292e-001
1.676666666666670e-004,9.523311e-001
1.676792491614952e-004,9.641526e-001
1.676960258212660e-004,9.781382e-001
1.677058572229143e-004,9.849800e-001
1.677180148470982e-004,9.913909e-001
1.677325668695380e-004,9.967375e-001
1.677491622080083e-004,1.000294e+000
1.677670149138801e-004,1.001980e+000
1.677803552737322e-004,1.002202e+000
1.677900724501067e-004,1.001941e+000
1.678121161715813e-004,1.000816e+000
1.678371102942340e-004,9.994943e-001
1.678505563877707e-004,9.989288e-001
1.678657081357995e-004,9.984496e-001
1.678831325122568e-004,9.980885e-001
1.679052015069958e-004,9.978534e-001
1.679386254305554e-004,9.977308e-001
1.680274005184677e-004,9.976777e-001
1.894167622059367e-004,9.415498e-001
2.108061238934058e-004,8.870258e-001
2.321954855808748e-004,8.341055e-001
2.535848472683439e-004,7.827891e-001
2.749742089558129e-004,7.330765e-001
2.963635706432820e-004,6.849678e-001
3.177529323307510e-004,6.384628e-001
3.343338123858774e-004,6.034653e-001
3.343438954645968e-004,6.034634e-001
3.343539785433162e-004,6.022509e-001
3.343640616220356e-004,5.998276e-001
3.343741447007550e-004,5.961937e-001
3.343842277794744e-004,5.913491e-001
3.343943108581938e-004,5.852938e-001
3.344043939369132e-004,5.780278e-001
3.344260720394317e-004,5.594133e-001
3.344615231739005e-004,5.245650e-001
3.345210957602510e-004,4.624367e-001
3.345998689475361e-004,3.825117e-001
3.347046495740787e-004,2.776943e-001
3.348094302006213e-004,1.728831e-001
3.349142108271638e-004,6.807800e-002
3.350189914537064e-004,-3.672090e-002
3.351237720802489e-004,-1.415137e-001
3.352285527067915e-004,-2.463002e-001
3.353333333333340e-004,-3.510807e-001
3.353450089235866e-004,-3.621484e-001
3.353605763772567e-004,-3.753838e-001
3.353706168706152e-004,-3.825949e-001
3.353829105180954e-004,-3.893813e-001
3.353974582415644e-004,-3.950444e-001
3.354136888721952e-004,-3.988232e-001
3.354310925260875e-004,-4.006866e-001
3.354461693661162e-004,-4.010577e-001
3.354557145391966e-004,-4.008479e-001
3.354641671342563e-004,-4.004150e-001
3.354726197293161e-004,-3.999899e-001
3.354810723243758e-004,-3.995725e-001
3.354895249194355e-004,-3.991630e-001
3.354979775144952e-004,-3.987612e-001
3.355064301095549e-004,-3.983673e-001
3.355148827046146e-004,-3.979811e-001
3.355467687850974e-004,-3.971738e-001
3.355682934027209e-004,-3.969637e-001
3.357201334239024e-004,-3.969536e-001
3.358719734450839e-004,-3.969241e-001
3.360238134662655e-004,-3.968753e-001
3.361756534874470e-004,-3.968072e-001
3.363274935086285e-004,-3.967198e-001
3.364793335298100e-004,-3.966130e-001
3.366311735509916e-004,-3.964869e-001
3.599695773294213e-004,-3.828162e-001
3.833079811078512e-004,-3.692914e-001
4.066463848862809e-004,-3.559123e-001
4.299847886647107e-004,-3.426790e-001
4.533231924431405e-004,-3.295915e-001
4.766615962215703e-004,-3.166497e-001
5.000000000000000e-004,-3.038537e-001
5.000029816121037e-004,-3.038632e-001
5.000059632242075e-004,-3.038070e-001
5.000089448363112e-004,-3.036851e-001
5.000119264484150e-004,-3.034974e-001
5.000149080605187e-004,-3.032441e-001
5.000178896726225e-004,-3.029250e-001
5.000208712847262e-004,-3.025402e-001
5.000294065087188e-004,-3.007352e-001
5.000387327537333e-004,-2.976664e-001
5.000516537735433e-004,-2.915009e-001
5.000665166359301e-004,-2.818910e-001
5.000875095634442e-004,-2.646591e-001
5.001169697964689e-004,-2.365620e-001
5.001419954386428e-004,-2.108340e-001
5.002042248995141e-004,-1.460959e-001
5.002422428612836e-004,-1.075901e-001
5.003504938811003e-004,5.341391e-004
5.004587449009168e-004,1.086476e-001
5.005669959207335e-004,2.167502e-001
5.006752469405502e-004,3.248421e-001
5.007834979603668e-004,4.329231e-001
5.008917489801834e-004,5.409933e-001
5.010000000000000e-004,6.490527e-001
5.010179245407894e-004,6.658052e-001
5.010294237307304e-004,6.750219e-001
5.010428433318747e-004,6.837298e-001
5.010573058880537e-004,6.906137e-001
5.010723675650637e-004,6.952325e-001
5.010884554700773e-004,6.978102e-001
5.011076664325304e-004,6.989201e-001
5.011276994451108e-004,6.985080e-001
5.011530974336353e-004,6.971446e-001
5.011784954221599e-004,6.960480e-001
5.012038934106845e-004,6.952182e-001
5.012292913992091e-004,6.946553e-001
5.012546893877337e-004,6.943592e-001
5.012800873762583e-004,6.943300e-001
5.013054853647828e-004,6.945676e-001
5.250713684079092e-004,6.451503e-001
5.488372514510355e-004,5.974549e-001
5.726031344941618e-004,5.514814e-001
5.963690175372882e-004,5.072298e-001
6.201349005804146e-004,4.647001e-001
6.439007836235408e-004,4.238923e-001
6.676666666666671e-004,3.848064e-001
6.676792553923244e-004,3.846078e-001
6.676918441179816e-004,3.825803e-001
6.677044328436388e-004,3.787240e-001
6.677170215692961e-004,3.730388e-001
6.677296102949534e-004,3.655247e-001
6.677421990206106e-004,3.561817e-001
6.677547877462679e-004,3.450099e-001
6.677846537853338e-004,3.164212e-001
6.678718797172783e-004,2.258739e-001
6.680459096019864e-004,5.136193e-002
6.682707749585385e-004,-1.735735e-001
6.686666666666670e-004,-5.692966e-001
6.686779464814681e-004,-5.800141e-001
6.686929862345362e-004,-5.928883e-001
6.687031254565898e-004,-6.002559e-001
6.687154847323291e-004,-6.071984e-001
6.687300264641081e-004,-6.129842e-001
6.687461043433633e-004,-6.168437e-001
6.687633221281195e-004,-6.187652e-001
6.687792887160841e-004,-6.191950e-001
6.688629322608710e-004,-6.156177e-001
6.689310003811829e-004,-6.149564e-001
6.924170479457758e-004,-5.903700e-001
7.159030955103687e-004,-5.661851e-001
7.393891430749616e-004,-5.424018e-001
7.628751906395545e-004,-5.190200e-001
7.863612382041473e-004,-4.960396e-001
8.098472857687402e-004,-4.734608e-001
8.333333333333331e-004,-4.512835e-001
8.333388718358601e-004,-4.513488e-001
8.333444103383873e-004,-4.510962e-001
8.333499488409143e-004,-4.505257e-001
8.333554873434414e-004,-4.496373e-001
8.333610258459684e-004,-4.484309e-001
8.333665643484956e-004,-4.469067e-001
8.333721028510226e-004,-4.450645e-001
8.333850363805612e-004,-4.388790e-001
8.333999119508990e-004,-4.292433e-001
8.334209309990710e-004,-4.119651e-001
8.334504538196191e-004,-3.837796e-001
8.334754389414239e-004,-3.580765e-001
8.335035569414069e-004,-3.285895e-001
8.335376533423976e-004,-2.933306e-001
8.335757237919880e-004,-2.547599e-001
8.336839537264659e-004,-1.466155e-001
8.337921836609436e-004,-3.848167e-002
8.339004135954215e-004,6.964151e-002
8.340086435298994e-004,1.777541e-001
8.341168734643773e-004,2.858560e-001
8.342251033988551e-004,3.939473e-001
8.343333333333330e-004,5.020279e-001
8.343512524636798e-004,5.187823e-001
8.343627518916920e-004,5.280036e-001
8.343761712937340e-004,5.367160e-001
8.343906328046967e-004,5.436039e-001
8.344056929714350e-004,5.482264e-001
8.344217799957528e-004,5.508081e-001
8.344409926267808e-004,5.519231e-001
8.344609974298345e-004,5.515178e-001
8.344863769914704e-004,5.501636e-001
8.345117565531064e-004,5.490763e-001
8.345371361147424e-004,5.482560e-001
8.345625156763784e-004,5.477026e-001
8.345878952380144e-004,5.474161e-001
8.346132747996504e-004,5.473966e-001
8.346386543612864e-004,5.476441e-001
8.584045608811026e-004,5.072902e-001
8.821704674009189e-004,4.683734e-001
9.059363739207352e-004,4.308938e-001
9.297022804405515e-004,3.948513e-001
9.534681869603677e-004,3.602459e-001
9.772340934801839e-004,3.270776e-001
1.001000000000000e-003,2.953464e-001
1.001012574624888e-003,2.951536e-001
1.001025149249776e-003,2.931351e-001
1.001037723874664e-003,2.892912e-001
1.001050298499552e-003,2.836216e-001
1.001062873124439e-003,2.761265e-001
1.001075447749327e-003,2.668058e-001
1.001088022374215e-003,2.556596e-001
